YEAR,BRACKET_SEED,REGION_CODE,SLOT_SEED,SEED_NUM,TEAM
2013,W01,W,W01,1,Indiana
2013,W02,W,W02,2,Miami FL
2013,W03,W,W03,3,Marquette
2013,W04,W,W04,4,Syracuse
2013,W05,W,W05,5,UNLV
2013,W06,W,W06,6,Butler
2013,W07,W,W07,7,Illinois
2013,W08,W,W08,8,North Carolina St.
2013,W09,W,W09,9,Temple
2013,W10,W,W10,10,Colorado
2013,W11,W,W11,11,Bucknell
2013,W12,W,W12,12,California
2013,W13,W,W13,13,Montana
2013,W14,W,W14,14,Davidson
2013,W15,W,W15,15,Pacific
2013,W16a,W,W16,16,James Madison
2013,W16b,W,W16,16,LIU Brooklyn
2013,X01,X,X01,1,Kansas
2013,X02,X,X02,2,Georgetown
2013,X03,X,X03,3,Florida
2013,X04,X,X04,4,Michigan
2013,X05,X,X05,5,VCU
2013,X06,X,X06,6,UCLA
2013,X07,X,X07,7,San Diego St.
2013,X08,X,X08,8,North Carolina
2013,X09,X,X09,9,Villanova
2013,X10,X,X10,10,Oklahoma
2013,X11,X,X11,11,Minnesota
2013,X12,X,X12,12,Akron
2013,X13,X,X13,13,South Dakota St.
2013,X14,X,X14,14,Northwestern St.
2013,X15,X,X15,15,Florida Gulf Coast
2013,X16,X,X16,16,Western Kentucky
2013,Y01,Y,Y01,1,Louisville
2013,Y02,Y,Y02,2,Duke
2013,Y03,Y,Y03,3,Michigan St.
2013,Y04,Y,Y04,4,Saint Louis
2013,Y05,Y,Y05,5,Oklahoma St.
2013,Y06,Y,Y06,6,Memphis
2013,Y07,Y,Y07,7,Creighton
2013,Y08,Y,Y08,8,Colorado St.
2013,Y09,Y,Y09,9,Missouri
2013,Y10,Y,Y10,10,Cincinnati
2013,Y11a,Y,Y11,11,Middle Tennessee
2013,Y11b,Y,Y11,11,Saint Mary's
2013,Y12,Y,Y12,12,Oregon
2013,Y13,Y,Y13,13,New Mexico St.
2013,Y14,Y,Y14,14,Valparaiso
2013,Y15,Y,Y15,15,Albany
2013,Y16a,Y,Y16,16,Liberty
2013,Y16b,Y,Y16,16,North Carolina A&T
2013,Z01,Z,Z01,1,Gonzaga
2013,Z02,Z,Z02,2,Ohio St.
2013,Z03,Z,Z03,3,New Mexico
2013,Z04,Z,Z04,4,Kansas St.
2013,Z05,Z,Z05,5,Wisconsin
2013,Z06,Z,Z06,6,Arizona
2013,Z07,Z,Z07,7,Notre Dame
2013,Z08,Z,Z08,8,Pittsburgh
2013,Z09,Z,Z09,9,Wichita St.
2013,Z10,Z,Z10,10,Iowa St.
2013,Z11,Z,Z11,11,Belmont
2013,Z12,Z,Z12,12,Mississippi
2013,Z13a,Z,Z13,13,Boise St.
2013,Z13b,Z,Z13,13,La Salle
