feature,coefficient,absolute_coefficient
num__W,1.3634,1.3634
cat__CONF_Ivy,1.1104,1.1104
num__ADJDE,-0.9774,0.9774
num__ADJOE,0.8645,0.8645
num__WAB,-0.6628,0.6628
num__BARTHAG,-0.6121,0.6121
num__WIN_RATE,-0.4782,0.4782
cat__CONF_CAA,-0.425,0.425
cat__CONF_Slnd,0.3876,0.3876
cat__CONF_ASun,0.3653,0.3653
cat__CONF_NEC,-0.3606,0.3606
cat__CONF_BSky,0.354,0.354
cat__CONF_SB,-0.3525,0.3525
num__2P_D,0.3209,0.3209
cat__CONF_Pat,-0.292,0.292
cat__CONF_CUSA,-0.2767,0.2767
cat__CONF_WCC,-0.2735,0.2735
cat__CONF_MAAC,-0.2726,0.2726
num__G,0.2715,0.2715
cat__CONF_Sum,0.2481,0.2481
cat__CONF_Horz,-0.2199,0.2199
num__TORD,-0.2196,0.2196
cat__CONF_Amer,-0.2117,0.2117
num__DRB,0.1994,0.1994
cat__CONF_BSth,0.1772,0.1772
num__EFG_O,-0.1623,0.1623
cat__CONF_A10,-0.1525,0.1525
cat__CONF_WAC,-0.1452,0.1452
cat__CONF_MAC,-0.1433,0.1433
num__TOR,0.1401,0.1401
num__3P_D,0.1369,0.1369
cat__CONF_ACC,0.1307,0.1307
cat__CONF_B10,0.1241,0.1241
cat__CONF_BW,0.1229,0.1229
cat__CONF_OVC,0.1208,0.1208
cat__CONF_MWC,-0.1072,0.1072
num__EFG_D,-0.0964,0.0964
num__FTRD,0.0921,0.0921
num__ORB,-0.0896,0.0896
cat__CONF_SEC,0.0776,0.0776
num__FTR,-0.0721,0.0721
cat__CONF_SWAC,0.0555,0.0555
cat__CONF_MEAC,0.0449,0.0449
cat__CONF_SC,-0.0286,0.0286
num__3P_O,-0.025,0.025
cat__CONF_P12,-0.0243,0.0243
num__ADJ_T,-0.0235,0.0235
cat__CONF_AE,-0.0229,0.0229
cat__CONF_B12,0.0184,0.0184
cat__CONF_MVC,-0.018,0.018
num__SEED_NUM,0.0158,0.0158
num__2P_O,0.0114,0.0114
cat__CONF_BE,-0.011,0.011
