feature,coefficient,absolute_coefficient
num__W,1.2637,1.2637
cat__CONF_Ivy,1.0821,1.0821
num__ADJDE,-0.9201,0.9201
num__ADJOE,0.734,0.734
num__WAB,-0.705,0.705
cat__CONF_CAA,-0.4938,0.4938
num__BARTHAG,-0.4734,0.4734
cat__CONF_Slnd,0.4489,0.4489
cat__CONF_ASun,0.4373,0.4373
num__WIN_RATE,-0.4303,0.4303
cat__CONF_Pat,-0.4248,0.4248
cat__CONF_MAC,-0.3332,0.3332
num__G,0.3255,0.3255
num__2P_D,0.3198,0.3198
cat__CONF_MAAC,-0.2871,0.2871
cat__CONF_Sum,0.272,0.272
num__DRB,0.2542,0.2542
cat__CONF_NEC,-0.2465,0.2465
cat__CONF_BSth,0.2365,0.2365
num__TORD,-0.2347,0.2347
cat__CONF_WCC,-0.224,0.224
cat__CONF_A10,-0.2163,0.2163
cat__CONF_ACC,0.2158,0.2158
cat__CONF_Amer,-0.2015,0.2015
cat__CONF_MVC,-0.1915,0.1915
cat__CONF_CUSA,-0.1685,0.1685
num__3P_D,0.1668,0.1668
cat__CONF_BSky,0.165,0.165
cat__CONF_SB,-0.1509,0.1509
cat__CONF_B10,0.1391,0.1391
cat__CONF_Horz,-0.1277,0.1277
cat__CONF_MWC,-0.1242,0.1242
num__EFG_O,-0.1242,0.1242
cat__CONF_SWAC,0.102,0.102
num__FTRD,0.0964,0.0964
cat__CONF_BW,0.0874,0.0874
cat__CONF_AE,-0.0794,0.0794
num__EFG_D,-0.0781,0.0781
cat__CONF_OVC,0.0746,0.0746
cat__CONF_MEAC,-0.0668,0.0668
num__TOR,0.0655,0.0655
num__ORB,-0.06,0.06
num__ADJ_T,-0.059,0.059
num__SEED_NUM,-0.0536,0.0536
num__FTR,-0.053,0.053
num__2P_O,0.0414,0.0414
cat__CONF_P12,0.0396,0.0396
cat__CONF_BE,0.0385,0.0385
cat__CONF_SC,-0.0328,0.0328
cat__CONF_WAC,0.031,0.031
num__3P_O,-0.027,0.027
cat__CONF_SEC,-0.0154,0.0154
cat__CONF_B12,0.0146,0.0146
